상호명,지리정보체계(GIS) X좌표,지리정보체계(GIS) Y좌표,경도,위도
덕적주유소,236133.0,515597.0,126.1512434676415,37.22781160772218
현대오일뱅크 고잔주유소,286465.0,533493.0,126.71552405134389,37.396523887597674
상야주유소,292454.0584,553800.5674,126.78018315436893,37.58018667287173
CJ대한통운㈜ 인천주유소,278840.8228,541303.3049,126.6281547123977,37.465916770415696
CJ대한통운㈜ 항만주유소,277112.8,540470.6,126.60876422639991,37.45818738956462
(주)광역주유소 만석점,278381.6588,543687.1521,126.6225716873312,37.48733092694695
새천년주유소,279409.7,541413.6,126.63456590639538,37.466984748066885
삼미상사(주)부광셀프주유소,280015.3608,557860.3008,126.63872241448031,37.615220173695675
석암주유소,284658.8,540318.9,126.69406262218013,37.457793027519315
백년탑주유소,278386.3,539581.5,126.62330198926475,37.45034645434048
영진주유소,278626.8108,541627.0735,126.62568268693525,37.46880531122996
뉴코리아주유소,278571.7871,543246.56,126.6247937447122,37.48338695189689
동일석유(주)남동클린주유소,285293.0,532903.0,126.70238188593603,37.39106437531424
내리주유소,265780.0,518408.7,126.48470183015304,37.25787929232552
삼영주유소,281040.6433,543041.3412,126.65273567328995,37.48185951500048
삼신주유소,278594.7139,539592.6296,126.62565508075757,37.45047409779818
남동농협주유소,288189.0,537158.0,126.73443604365653,37.42975088603136
박문주유소,280901.3036,541544.9105,126.65140258574093,37.468361068561194
나라상사 스타주유소,280506.4,557154.1,126.6443984403751,37.60892253712563
통일주유소,281465.8167,540112.4386,126.65801321760074,37.45552925844427
장봉주유소,253926.0,549018.0,126.3450692733299,37.53180279484981
선재주유소,269703.3455,516355.686,126.52927680485695,37.23994230995802
한국주유소,278649.085,539443.8445,126.62629392363975,37.449140921994704
공성주유소,280272.0295,540508.7347,126.64445885667729,37.458945450769754
학익셀프주유소,282100.0,538624.0,126.66541763610972,37.44220171210803
구도일주유소,288144.0,543495.0,126.73296584682461,37.486833906636456
부광알뜰셀프주유소,278502.5,541638.9,126.62427577027456,37.46889551405986
제물포하이웨이주유소,282016.5562,541165.227,126.66406813752387,37.46508374469244
황금주유소,283019.3103,538191.2794,126.67587287125707,37.43842023078167
영종,272423.7,545132.2,126.55496878535403,37.49954420664241
영남주유소,282725.0,541013.0,126.67209898240635,37.46380256575614
공항주유소,260539.0866,537152.4048,126.42211309290398,37.42594728540951
북포주유소,106938.2527,600245.0095,124.6632784986744,37.95764792420482
탑self주유소,281412.6053,542326.2486,126.65705556973158,37.47546546939714
정해(주) 인천주유소,282354.0,539700.0,126.66811571960585,37.45192723504615
(주)오일네트워크 인천항훼미리,278577.7693,539563.0651,126.62546848773465,37.45020554516116
옹진주유소,111476.3,601844.6,124.71419318542341,37.97348862699687
(주)인천항주유소,278632.5208,539656.8261,126.62607170408722,37.4510573663336
(주)을왕주유소,256190.4239,540929.6584,126.37226127660578,37.459304952658854
(주)고속주유소,279038.8,539583.1,126.63067450861817,37.45044644447701
동양산업(주)사동주유소,278623.141,541543.8804,126.62565491867139,37.46805539716611
극동유화(주) 인천주유소,277597.5276,538309.1844,126.61460063240501,37.43878094148014
지에스칼텍스(주)국제공항터미널점,263993.0959,543835.8178,126.45989198126631,37.486663394411856
HD현대오일뱅크㈜직영 인천셀프주유소,282527.4835,542366.601,126.66965086492189,37.47597140729538
HD현대오일뱅크㈜직영 미추홀셀프주유소,283405.3421,539601.026,126.68001126844024,37.45116878053892
SK에너지(주) 해바라기,281684.1307,543368.237,126.65995721477465,37.48488698530621
SK에너지(주) 문학주유소,283898.9743,538157.4035,126.68581641906482,37.43822586687358
SK에너지(주) 남강,280124.6481,540583.3354,126.64278121680032,37.45959838677217
지에스칼텍스(주) 인천국제공항점,265325.5794,538711.115,126.47589094576364,37.440696584002865
현대오일뱅크㈜직영 신공항주유소,266649.5565,544622.2661,126.48977812873629,37.49413488141975
한국2주유소,278013.5207,539687.4451,126.6190723354525,37.45125174740346
동양산업(주)항동주유소,278167.832,539608.2531,126.62082904380745,37.45055870047263
송현주유소,280398.6146,543503.7679,126.64540296642078,37.48594233261677
신화상사(주)구도일주유소 신화제일,279572.4696,541083.039,126.63645953347798,37.46402814915057
내트럭(주)인천사업소,278369.148,537610.342,126.62343322382753,37.432587264606276
연평주유소,196720.0,564018.0,125.6940666028824,37.65602325332442
동성주유소 ㈜태평석유 직영,278862.0,539337.0,126.62871722471444,37.448206338576824
SK드림월드셀프주유소,279341.3,538366.4,126.6342916164398,37.43952542643978
SK행복가득주유소,280778.0,538747.0,126.65046155519005,37.44314031647996
SK KH에너지 북항주유소,280445.8765,543719.2021,126.64590225199248,37.48788916736542
HD현대오일뱅크(주) 하이웨이주유소,278074.0,539655.0,126.61976107950925,37.450967446563425
대박주유소,280902.7681,543153.801,126.65115891821958,37.4828548337927
한국3주유소,279620.2327,540889.1192,126.63703100472577,37.46228746460891
허브제1주유소,270107.2063,545819.6225,126.52865652952492,37.50541342918701
허브제2주유소,268004.3825,543667.3102,126.50526605073969,37.48572745580037
최고주유소,284400.8518,541187.9495,126.69101128788736,37.46558972589054
오일캠프주유소,278640.0,539348.0,126.62620704641661,37.44827632649733
갤러리주유소 (주)제이씨네트웍,278283.3152,543664.2259,126.62146372241945,37.487111445328374
(주)창조 청라주유소,280402.1871,543651.1639,126.64541939980016,37.487270595994126
백운주유소(주),270833.1,543736.1,126.5372301173299,37.48674701817757
하은상사주유소,270539.0029,560063.9953,126.53102305623378,37.63378489504351
경인터미널주유소 ㈜북서울에너지,281447.0,542964.0,126.65734164801589,37.48121503353642
무진에너지(주)스카이점,261289.9579,538955.244,126.43025501291078,37.44229936871255
영흥주유소,268925.0029,517588.9953,126.52028996216399,37.25094314295429
계현주유소,288492.2321,553429.9893,126.73539397208589,37.57637684349323
유항주유소,287690.5239,547106.3318,126.72728761524013,37.51931213879347
(주)거보주유소,285827.9481,547765.4846,126.70611932894066,37.525021502595784
하이웨이주유소,287130.2733,546199.9782,126.72109032700475,37.51107876088942
동양동주유소,291533.1216,551592.2455,126.77008542850925,37.56018448215598
㈜자연에너지 계양주유소,288000.0,547744.0,126.73069061355476,37.52509429234198
(주)보라미주유소,288507.8,553496.1,126.73556012123852,37.57697429247602
SK에너지 삼성셀프주유소,289812.18,546720.8196,126.75134177505582,37.51609504791044
백악관주유소,283950.0029,540387.9953,126.6860418516173,37.4583267769868
고개마루주유소,285166.0,545486.0,126.6989883012785,37.50440448476479
부개주유소,288460.0,543452.0,126.73654482717949,37.48648475177629
남동하이웨이주유소,286601.1975,539376.5426,126.71615818909459,37.449543911710514
동암주유소,285276.0,541698.0,126.70082268404602,37.470293622821764
굿모닝주유소,284576.7041,547492.9481,126.6920095190816,37.52241060987455
남항주유소,277742.4,539920.3,126.61597022825968,37.453313578189025
미담주유소,287327.0,548691.0,126.72293302126175,37.53354346580753
갈산셀프주유소,288158.2157,546998.5377,126.73259368361809,37.51839788336785
아크로셀프주유소,289939.0,542162.0,126.75345818878978,37.47504086455508
(주)자연에너지 한강주유소,283299.848,551091.9842,126.67699560626154,37.55467160073592
지에스칼텍스(주)신부평주유소,288647.0,546895.0,126.73813753797432,37.51752427784403
지에스칼텍스(주)부흥로주유소,288025.0,545347.0,126.73133860862889,37.50350357596924
지에스칼텍스(주)계산신도시주유소,290067.0566,548329.9473,126.75398355043855,37.530621641164984
서울석유(주) 태경주유소,290069.9563,547744.6875,126.75410395711215,37.52534954771612
(주)신진에너지 양정셀프주유소,290498.4465,547803.4415,126.75894192195933,37.525929824276446
박촌주유소,289346.6788,551257.2878,126.74539328441182,37.556906894021104
㈜소모 동양7주유소,289242.8638,543261.1941,126.74542400701561,37.484860049493825
믿음주유소,290209.9988,547790.239,126.755681190943,37.52577659131783
십정주유소,284501.0,542259.0,126.69197519214242,37.475250897387326
유카스에너지 열우물주유소,285181.0029,542896.9953,126.69956200448,37.48108309982187
수림주유소,288670.0,540864.0,126.73931021191923,37.46319545685863
제일주유소,287917.4821,544835.8544,126.73020072772509,37.49888578126613
(주)오일리오인천지점,289051.0,550436.0,126.74217164932648,37.549472646594495
부일주유소,287211.9064,544974.8789,126.72220143993847,37.50005226530199
동양산업(주)직영 효성주유소,286175.6,547465.9,126.71009800768314,37.52236564653024
임학주유소(셀프),288533.0,549740.0,126.73641635292428,37.543140124840356
동일석유(주)동일주유소,287365.8359,547815.4163,126.72350663775808,37.52566042165157
SK에너지㈜ 보보프라자주유소,289702.7789,542570.6124,126.75072683738824,37.478693794319014
서일석유(주) 갈현주유소,287103.3182,553430.2722,126.71967317614656,37.576210102714086
HD현대오일뱅크㈜직영 싸이클셀프주유소,289865.0517,543135.7465,126.752476631846,37.48380432534053
이안주유소,289424.6836,543277.2385,126.7474770719715,37.48502637613207
SK에너지(주) 하나원주유소,288782.0748,547768.5993,126.73953296742295,37.525410545689695
SK에너지(주) 행복날개주유소,287262.6841,548538.2635,126.72222891512921,37.53215966188417
